tʰi˩˥	tʰ i ˩˥  
tʰv̩˧ɭɯ˧	tʰ v̩ ˧ ɭ ɯ ˧  
tʰv̩˧ɲi˧dʑo˩	tʰ v̩ ˧ ɲ i ˧ dʑ o ˩  
tʰv̩˩kʰɯ˩	tʰ v̩ ˩ kʰ ɯ ˩  
tʰæ˧ɻæ˩	tʰ æ ˧ ɻ æ ˩  
zo˧ɳɯ˩	z o ˧ ɳ ɯ ˩  
zo˩no˧ni˩	z o ˩ n o ˧ n i ˩  
æ˧ʂæ˧tɑ˩mv̩˩dʑo˩	æ ˧ ʂ æ ˧ t ɑ ˩ m v̩ ˩ dʑ o ˩  
ɑ˩pʰo˩	ɑ ˩ pʰ o ˩  
ɖɯ˧kʰv̩˧ɳɯ˥	ɖ ɯ ˧ kʰ v̩ ˧ ɳ ɯ ˥  
ɖɯ˧pæ˥	ɖ ɯ ˧ p æ ˥  
ɖɯ˧pɤ˩	ɖ ɯ ˧ p ɤ ˩  
ɖɯ˧tɕʰi˩	ɖ ɯ ˧ tɕʰ i ˩  
ɖɯ˧ɬi˧	ɖ ɯ ˧ ɬ i ˧  
ɖɯ˧ɲi˧	ɖ ɯ ˧ ɲ i ˧  
ɖɯ˧ʂɯ˩lɑ˩	ɖ ɯ ˧ ʂ ɯ ˩ l ɑ ˩  
ɖɯ˧ʑi˩ɻ̍˩dʑo˩	ɖ ɯ ˧ ʑ i ˩ ɻ̍ ˩ dʑ o ˩  
əəə	ə ə ə  
ə˧dɑ˥ɳɯ˩	ə ˧ d ɑ ˥ ɳ ɯ ˩  
ə˧mi˧lɑ˧	ə ˧ m i ˧ l ɑ ˧  
ə˧mi˧ɻæ˩	ə ˧ m i ˧ ɻ æ ˩  
ə˧ti˥dzi˩	ə ˧ t i ˥ dz i ˩  
ɣɯ˧	ɣ ɯ ˧  
ɬɑ˧sɑ˧	ɬ ɑ ˧ s ɑ ˧  
ɲi˥kv̩˩	ɲ i ˥ k v̩ ˩  
ɲi˥ze˩mæ˩	ɲ i ˥ z e ˩ m æ ˩  
ɲi˧kv̩˧	ɲ i ˧ k v̩ ˧  
ɲi˧zo˧	ɲ i ˧ z o ˧  
ʂɯ˩	ʂ ɯ ˩  
ʈʂʰɯ˧qo˧ɳɯ˧	ʈʂʰ ɯ ˧ q o ˧ ɳ ɯ ˧  
ʈʂʰɯ˧tɕi˩	ʈʂʰ ɯ ˧ tɕ i ˩  
ʈʂʰɯ˧ɻæ˥	ʈʂʰ ɯ ˧ ɻ æ ˥  
ʈʂʰɯ˧ʑi˧ɻ̍˥dʑo˩	ʈʂʰ ɯ ˧ ʑ i ˧ ɻ̍ ˥ dʑ o ˩  
ʈʂʰɯ˩dʑo˩	ʈʂʰ ɯ ˩ dʑ o ˩  
ʈʰæ˧	ʈʰ æ ˧  
ʐwæ˩˥	ʐ wæ ˩˥  
ʐwɤ˩˥	ʐ wɤ ˩˥  
ʐɤ˩mi˩˥	ʐ ɤ ˩ m i ˩˥  
ʝi˧lv̩˧	ʝ i ˧ l v̩ ˧  
ʝi˧ɲi˥	ʝ i ˧ ɲ i ˥  
bo˩ʈʂʰæ˧	b o ˩ ʈʂʰ æ ˧  
bæ˧	b æ ˧  
bæ˧˥	b æ ˧˥  
di˩hĩ˩	d i ˩ h ĩ ˩  
di˩kv̩˩ze˩	d i ˩ k v̩ ˩ z e ˩  
do˩	d o ˩  
dv̩˩pʰæ˧	d v̩ ˩ pʰ æ ˧  
dze˧ɭɯ˧	dz e ˧ ɭ ɯ ˧  
dze˧ʈʂʰɤ˥	dz e ˧ ʈʂʰ ɤ ˥  
dzɯ˧di˧	dz ɯ ˧ d i ˧  
dzɯ˧di˧˥	dz ɯ ˧ d i ˧˥  
dʑ	dʑ  
dʑo˧mɤ˧kv̩˧˥	dʑ o ˧ m ɤ ˧ k v̩ ˧˥  
dʑo˧ze˧	dʑ o ˧ z e ˧  
dʑo˩kv̩˩mv̩˩	dʑ o ˩ k v̩ ˩ m v̩ ˩  
dʑo˩kv̩˩mæ˩	dʑ o ˩ k v̩ ˩ m æ ˩  
dʑɤ˩kʰɯ˥	dʑ ɤ ˩ kʰ ɯ ˥  
gv̩˧ɲi˥tsɯ˩	g v̩ ˧ ɲ i ˥ ts ɯ ˩  
gv̩˧˥	g v̩ ˧˥  
gv̩˩ze˩	g v̩ ˩ z e ˩  
gɤ˧qo˥	g ɤ ˧ q o ˥  
gɤ˩ʈi˧	g ɤ ˩ ʈ i ˧  
gɤ˩ʑi˥dʑo˩	g ɤ ˩ ʑ i ˥ dʑ o ˩  
gɤ˩ʑi˥hĩ˩	g ɤ ˩ ʑ i ˥ h ĩ ˩  
gɯ˩ʝi˥dʑo˩	g ɯ ˩ ʝ i ˥ dʑ o ˩  
h	h  
hi˧	h i ˧  
hi˧lɤ˩	h i ˧ l ɤ ˩  
hi˩	h i ˩  
hĩ˧dʑo˩	h ĩ ˧ dʑ o ˩  
ho˧	h o ˧  
hwæ˥	h wæ ˥  
hwɤ˧tɕi˥	h wɤ ˧ tɕ i ˥  
hæ˧ʐwɤ˩	h æ ˧ ʐ wɤ ˩  
hæ˧ʐwɤ˩dʑo˩	h æ ˧ ʐ wɤ ˩ dʑ o ˩  
hɑ̃˩	h ɑ̃ ˩  
hɯ˧ɲi˥tsɯ˩	h ɯ ˧ ɲ i ˥ ts ɯ ˩  
hɯ˩	h ɯ ˩  
jɤ˩jo˧	jɤ ˩ jo ˧  
kɯ˧ʈʂʰwɤ˩	k ɯ ˧ ʈʂʰ wɤ ˩  
kʰi˧bɤ˧	kʰ i ˧ b ɤ ˧  
kʰi˧mi˧	kʰ i ˧ m i ˧  
kʰi˧˥	kʰ i ˧˥  
kʰv̩˧tɕʰi˧	kʰ v̩ ˧ tɕʰ i ˧  
kʰɯ˧˥	kʰ ɯ ˧˥  
le˧dɑ˩	l e ˧ d ɑ ˩  
le˧dɑ˩dɑ˩	l e ˧ d ɑ ˩ d ɑ ˩  
le˧fv̩˧	l e ˧ f v̩ ˧  
le˧hæ̃˧˥	l e ˧ h æ̃ ˧˥  
le˧hɑ̃˧˥	l e ˧ h ɑ̃ ˧˥  
le˧kʰv̩˥	l e ˧ kʰ v̩ ˥  
le˧li˧	l e ˧ l i ˧  
le˧qwæ˧˥	l e ˧ q wæ ˧˥  
le˧qʰo˩	l e ˧ qʰ o ˩  
le˧se˩ɲi˩ze˩	l e ˧ s e ˩ ɲ i ˩ z e ˩  
le˧so˩	l e ˧ s o ˩  
le˧ʂɯ˧bi˧	l e ˧ ʂ ɯ ˧ b i ˧  
le˧ʈɤ˧	l e ˧ ʈ ɤ ˧  
le˧ʈʂʰo˥	l e ˧ ʈʂʰ o ˥  
le˧ʈʂʰæ˧ʈʂʰæ˧	l e ˧ ʈʂʰ æ ˧ ʈʂʰ æ ˧  
le˧ʐɤ˧	l e ˧ ʐ ɤ ˧  
li˧	l i ˧  
lo˧gv̩˩	l o ˧ g v̩ ˩  
lo˩jɤ˧	l o ˩ jɤ ˧  
mo˧ʈʂʰɯ˥	m o ˧ ʈʂʰ ɯ ˥  
mo˧ʈʂʰɯ˥dʑo˩	m o ˧ ʈʂʰ ɯ ˥ dʑ o ˩  
mv̩˧di˩	m v̩ ˧ d i ˩  
mv̩˧ʈʰæ˧	m v̩ ˧ ʈʰ æ ˧  
mv̩˩kʰv̩˧˥	m v̩ ˩ kʰ v̩ ˧˥  
mv̩˩lo˥ʝi˩	m v̩ ˩ l o ˥ ʝ i ˩  
mv̩˩zo˩	m v̩ ˩ z o ˩  
mv̩˩zɯ˩˥	m v̩ ˩ z ɯ ˩˥  
mɤ˧bi˧	m ɤ ˧ b i ˧  
mɤ˧dʑo˧˥	m ɤ ˧ dʑ o ˧˥  
mɤ˧dʑo˩zo˩	m ɤ ˧ dʑ o ˩ z o ˩  
mɤ˧dʑo˩ɲi˩	m ɤ ˧ dʑ o ˩ ɲ i ˩  
mɤ˧kv̩˩	m ɤ ˧ k v̩ ˩  
mɤ˩mv̩˩	m ɤ ˩ m v̩ ˩  
njæ˧sɯ˩kv̩˩dʑo˩	n jæ ˧ s ɯ ˩ k v̩ ˩ dʑ o ˩  
nv̩˩ɭɯ˧	n v̩ ˩ ɭ ɯ ˧  
pi˥	p i ˥  
pi˧hĩ˧ʈʂʰɯ˧dʑo˩	p i ˧ h ĩ ˧ ʈʂʰ ɯ ˧ dʑ o ˩  
pi˧kv̩˩tsɯ˩	p i ˧ k v̩ ˩ ts ɯ ˩  
pi˧kwɤ˩tɕɯ˩lɑ˩	p i ˧ k wɤ ˩ tɕ ɯ ˩ l ɑ ˩  
pi˩hĩ˩	p i ˩ h ĩ ˩  
pi˩zo˩	p i ˩ z o ˩  
pi˩ɲi˩tsɯ˩	p i ˩ ɲ i ˩ ts ɯ ˩  
po˧bi˥	p o ˧ b i ˥  
pv̩˩tʰɑ˩kʰɯ˥	p v̩ ˩ tʰ ɑ ˩ kʰ ɯ ˥  
pʰi˩	pʰ i ˩  
pʰɤ˧bɤ˧	pʰ ɤ ˧ b ɤ ˧  
qv̩˧ɻ̍˧	q v̩ ˧ ɻ̍ ˧  
qwæ˧˥	q wæ ˧˥  
qæ˧	q æ ˧  
qʰv̩˧ɬi˧mi˧	qʰ v̩ ˧ ɬ i ˧ m i ˧  
qʰæ˧	qʰ æ ˧  
so˧ʝi˥dʑo˩	s o ˧ ʝ i ˥ dʑ o ˩  
so˩	s o ˩  
sɯ˧pʰi˧	s ɯ ˧ pʰ i ˧  
to˩pv̩˧	t o ˩ p v̩ ˧  
tsʰe˧ɬi˧mi˧	tsʰ e ˧ ɬ i ˧ m i ˧  
tsʰe˩ŋwɤ˩hɑ̃˥	tsʰ e ˩ ŋ wɤ ˩ h ɑ̃ ˥  
tsʰi˧ʝi˧	tsʰ i ˧ ʝ i ˧  
tsʰi˧˥	tsʰ i ˧˥  
tsʰo˧qʰwɤ˩dʑo˩	tsʰ o ˧ qʰ wɤ ˩ dʑ o ˩  
tsʰɯ˧˥	tsʰ ɯ ˧˥  
tsʰɯ˩dʑo˩	tsʰ ɯ ˩ dʑ o ˩  
tɕɤ˩	tɕ ɤ ˩  
tɕʰi˧	tɕʰ i ˧  
tɕʰi˧bi˧pi˧	tɕʰ i ˧ b i ˧ p i ˧  
tɕʰi˧mɤ˧bi˧ze˧	tɕʰ i ˧ m ɤ ˧ b i ˧ z e ˧  
tɕʰɤ˧pɤ˧mi˧	tɕʰ ɤ ˧ p ɤ ˧ m i ˧  
tɕʰɯ˩jɤ˩	tɕʰ ɯ ˩ jɤ ˩  
tʰi˧	tʰ i ˧  
tʰi˧kwɤ˩kʰɯ˩	tʰ i ˧ k wɤ ˩ kʰ ɯ ˩  
tʰi˧pʰo˧˥	tʰ i ˧ pʰ o ˧˥  
tʰi˧ɬi˧˥	tʰ i ˧ ɬ i ˧˥  
tʰi˩tɕɯ˩	tʰ i ˩ tɕ ɯ ˩  
tʰv̩˧dʑo˧	tʰ v̩ ˧ dʑ o ˧  
tʰv̩˧kʰwɤ˧	tʰ v̩ ˧ kʰ wɤ ˧  
tʰv̩˧ʁo˥	tʰ v̩ ˧ ʁ o ˥  
tʰv̩˩kwɤ˩tɕɯ˩lɑ˩	tʰ v̩ ˩ k wɤ ˩ tɕ ɯ ˩ l ɑ ˩  
tʰææ̃˧	tʰ æ æ̃ ˧  
æ˧hi˩hi˩	æ ˧ h i ˩ h i ˩  
æ˧ʂæ˧ʈʂʰɯ˧dʑo˩	æ ˧ ʂ æ ˧ ʈʂʰ ɯ ˧ dʑ o ˩  
æ˩gv̩˩˥	æ ˩ g v̩ ˩˥  
ŋwɤ˧hɑ̃˩	ŋ wɤ ˧ h ɑ̃ ˩  
ɑ˩pʰo˩˥	ɑ ˩ pʰ o ˩˥  
ɑ˩ʁo˥	ɑ ˩ ʁ o ˥  
ɖwæ˩˥	ɖ wæ ˩˥  
ɖɯ˧dzi˩	ɖ ɯ ˧ dz i ˩  
ɖɯ˧pʰo˧˥	ɖ ɯ ˧ pʰ o ˧˥  
ɖɯ˧v̩˥	ɖ ɯ ˧ v̩ ˥  
ɖɯ˧ɬi˧mi˧	ɖ ɯ ˧ ɬ i ˧ m i ˧  
ɖɯ˧ʑi˩ɖɯ˩ʑi˩	ɖ ɯ ˧ ʑ i ˩ ɖ ɯ ˩ ʑ i ˩  
ɖɯ˧ʑi˩ɳɯ˩	ɖ ɯ ˧ ʑ i ˩ ɳ ɯ ˩  
ɖɯ˧ʑi˩ɻ̍˩	ɖ ɯ ˧ ʑ i ˩ ɻ̍ ˩  
ə˧dɑ˥lɑ˩	ə ˧ d ɑ ˥ l ɑ ˩  
ə˧hɑ˧bɑ˩lɑ˩	ə ˧ h ɑ ˧ b ɑ ˩ l ɑ ˩  
ə˧mv̩˩ki˩	ə ˧ m v̩ ˩ k i ˩  
ə˧pʰv̩˧	ə ˧ pʰ v̩ ˧  
ə˧ʑi˧ɳɯ˥	ə ˧ ʑ i ˧ ɳ ɯ ˥  
ə˧ʝi˧tsʰi˧ʝi˧	ə ˧ ʝ i ˧ tsʰ i ˧ ʝ i ˧  
ə˩kʰɯ˩lɑ˥	ə ˩ kʰ ɯ ˩ l ɑ ˥  
ə˩kʰɯ˩˥	ə ˩ kʰ ɯ ˩˥  
ə̃	ə̃  
ɬi˧di˩di˩mi˩	ɬ i ˧ d i ˩ d i ˩ m i ˩  
ɲi˥tsɯ˩	ɲ i ˥ ts ɯ ˩  
ɲi˧mi˧kʰɯ˧ʂɯ˧	ɲ i ˧ m i ˧ kʰ ɯ ˧ ʂ ɯ ˧  
ɲi˧ʈʂæ˧ʑi˧	ɲ i ˧ ʈʂ æ ˧ ʑ i ˧  
ɲi˩kv̩˩tsɯ˩	ɲ i ˩ k v̩ ˩ ts ɯ ˩  
ʁæ˧mɤ˧ʑi˧	ʁ æ ˧ m ɤ ˧ ʑ i ˧  
ʁɑ˩ʂe˩	ʁ ɑ ˩ ʂ e ˩  
ʂe˧pʰæ˩	ʂ e ˧ pʰ æ ˩  
ʂwæ˧hĩ˧qo˩	ʂ wæ ˧ h ĩ ˧ q o ˩  
ʂɯ˧hĩ˧	ʂ ɯ ˧ h ĩ ˧  
ʈʂʰ	ʈʂʰ  
ʈʂʰv̩˧	ʈʂʰ v̩ ˧  
ʈʂʰɯ˧dʑo˧	ʈʂʰ ɯ ˧ dʑ o ˧  
ʈʂʰɯ˧lɑ˩	ʈʂʰ ɯ ˧ l ɑ ˩  
ʈʂʰɯ˧ɳɯ˧	ʈʂʰ ɯ ˧ ɳ ɯ ˧  
ʈʂʰɯ˧ʑi˥	ʈʂʰ ɯ ˧ ʑ i ˥  
ʈʂʰɯ˩tɕi˩	ʈʂʰ ɯ ˩ tɕ i ˩  
ʈʰɯ˩˥	ʈʰ ɯ ˩˥  
ʐv̩˩kv̩˩	ʐ v̩ ˩ k v̩ ˩  
ʐv̩˩ɭɯ˩˥	ʐ v̩ ˩ ɭ ɯ ˩˥  
ʐwɤ˩ɲi˥tsɯ˩	ʐ wɤ ˩ ɲ i ˥ ts ɯ ˩  
ʐæ˩	ʐ æ ˩  
ʐɤ˩	ʐ ɤ ˩  
ʐɤ˩mi˩qo˥	ʐ ɤ ˩ m i ˩ q o ˥  
ʑi˧	ʑ i ˧  
ʑi˩	ʑ i ˩  
ʝi˧lv̩˧˥	ʝ i ˧ l v̩ ˧˥  
ʝi˧qv̩˥ɻ̍˩ɳɯ˩	ʝ i ˧ q v̩ ˥ ɻ̍ ˩ ɳ ɯ ˩  
ʝi˧se˧	ʝ i ˧ s e ˧  
ʝi˧zo˥	ʝ i ˧ z o ˥  
bi˧kv̩˧˥	b i ˧ k v̩ ˧˥  
bi˩˥	b i ˩˥  
bv̩˧	b v̩ ˧  
bv̩˩hwɤ˩qo˥	b v̩ ˩ h wɤ ˩ q o ˥  
bɑ˩lɑ˩	b ɑ ˩ l ɑ ˩  
di˧qo˧ɳɯ˧	d i ˧ q o ˧ ɳ ɯ ˧  
di˩li˩ʁo˩bv̩˥ʈʂʰɯ˩	d i ˩ l i ˩ ʁ o ˩ b v̩ ˥ ʈʂʰ ɯ ˩  
do˥	d o ˥  
do˧˥	d o ˧˥  
dze˧	dz e ˧  
dzɑ˧hĩ˧	dz ɑ ˧ h ĩ ˧  
dzɑ˩qʰwɤ˩˥	dz ɑ ˩ qʰ wɤ ˩˥  
dzɯ˧kv̩˩	dz ɯ ˧ k v̩ ˩  
dzɯ˧tʰɑ˩	dz ɯ ˧ tʰ ɑ ˩  
dɑ˩	d ɑ ˩  
dʑi˧hṽ˧	dʑ i ˧ h ṽ ˧  
dʑo˧kv̩˩	dʑ o ˧ k v̩ ˩  
dʑo˩ɲi˩tsɯ˩	dʑ o ˩ ɲ i ˩ ts ɯ ˩  
dʑɯ˧qo˧	dʑ ɯ ˧ q o ˧  
dʑɯ˧ʈʂʰwæ˧	dʑ ɯ ˧ ʈʂʰ wæ ˧  
dʑɯ˩nɑ˩mi˩ʁo˩	dʑ ɯ ˩ n ɑ ˩ m i ˩ ʁ o ˩  
dʑɯ˩nɑ˩mi˩˥	dʑ ɯ ˩ n ɑ ˩ m i ˩˥  
dʑɯ˩tsʰi˧	dʑ ɯ ˩ tsʰ i ˧  
dʑɯ˩ʈʂʰɯ˥	dʑ ɯ ˩ ʈʂʰ ɯ ˥  
g	g  
gi˧dʑɯ˧	g i ˧ dʑ ɯ ˧  
go˩	g o ˩  
go˩bo˥	g o ˩ b o ˥  
gõndõ	g õ n d õ  
gv̩˧kv̩˥	g v̩ ˧ k v̩ ˥  
gv̩˩hĩ˩˥	g v̩ ˩ h ĩ ˩˥  
gv̩˩pʰæ˩	g v̩ ˩ pʰ æ ˩  
gv̩˩ɲi˩	g v̩ ˩ ɲ i ˩  
gæ˩pʰæ˧	g æ ˩ pʰ æ ˧  
gɤ˧	g ɤ ˧  
gɤ˧bi˧	g ɤ ˧ b i ˧  
gɯ˩	g ɯ ˩  
gɯ˩˥	g ɯ ˩˥  
hi˩nɑ˧mi˧	h i ˩ n ɑ ˧ m i ˧  
hĩ˧lɑ˩	h ĩ ˧ l ɑ ˩  
hĩ˧mo˥ɻæ˩ɳɯ˩	h ĩ ˧ m o ˥ ɻ æ ˩ ɳ ɯ ˩  
hĩ˧qɑ˩	h ĩ ˧ q ɑ ˩  
hĩ˩	h ĩ ˩  
ho˧di˧dʑo˧	h o ˧ d i ˧ dʑ o ˧  
ho˩	h o ˩  
hõ˧	h õ ˧  
hwæ˩	h wæ ˩  
hwɤ˧tɕi˥ʈʂʰɯ˩	h wɤ ˧ tɕ i ˥ ʈʂʰ ɯ ˩  
hæ˧ɳɯ˧	h æ ˧ ɳ ɯ ˧  
hɑ˧lɑ˩	h ɑ ˧ l ɑ ˩  
hɑ˧ʐwɤ˩	h ɑ ˧ ʐ wɤ ˩  
hɤ˩hĩ˩˥	h ɤ ˩ h ĩ ˩˥  
hɯ˧dʑo˩	h ɯ ˧ dʑ o ˩  
hɯ˩dʑo˩	h ɯ ˩ dʑ o ˩  
jo˧	jo ˧  
jɤ˧ŋɤ˧	jɤ ˧ ŋ ɤ ˧  
ki˧kv̩˧˥	k i ˧ k v̩ ˧˥  
ki˧mɤ˧kv̩˧tsɯ˥	k i ˧ m ɤ ˧ k v̩ ˧ ts ɯ ˥  
ki˩˥	k i ˩˥  
kwɤ˧tɕɯ˥lɑ˩	k wɤ ˧ tɕ ɯ ˥ l ɑ ˩  
kʰv̩˧nɑ˥	kʰ v̩ ˧ n ɑ ˥  
kʰv̩˧tɕʰi˥	kʰ v̩ ˧ tɕʰ i ˥  
kʰv̩˧ʂe˧	kʰ v̩ ˧ ʂ e ˧  
kʰv̩˧ʈʂʰɯ˧	kʰ v̩ ˧ ʈʂʰ ɯ ˧  
kʰv̩˩	kʰ v̩ ˩  
kʰv̩˩mi˩	kʰ v̩ ˩ m i ˩  
kʰv̩˩mi˩lɑ˥	kʰ v̩ ˩ m i ˩ l ɑ ˥  
kʰɤ˧ʂɯ˧	kʰ ɤ ˧ ʂ ɯ ˧  
kʰɯ˧mɤ˥kv̩˩	kʰ ɯ ˧ m ɤ ˥ k v̩ ˩  
kʰɯ˧tsʰɤ˧˥	kʰ ɯ ˧ tsʰ ɤ ˧˥  
kʰɯ˩	kʰ ɯ ˩  
l	l  
le˧bi˩dʑo˩	l e ˧ b i ˩ dʑ o ˩  
le˧di˧˥	l e ˧ d i ˧˥  
le˧dʑo˧	l e ˧ dʑ o ˧  
le˧dʑo˩hĩ˩dʑo˩	l e ˧ dʑ o ˩ h ĩ ˩ dʑ o ˩  
le˧gɤ˧˥	l e ˧ g ɤ ˧˥  
le˧gɤ˩ze˩	l e ˧ g ɤ ˩ z e ˩  
le˧hæ̃˩hæ̃˩	l e ˧ h æ̃ ˩ h æ̃ ˩  
le˧hɤ˩	l e ˧ h ɤ ˩  
le˧hɯ˩	l e ˧ h ɯ ˩  
le˧kʰv̩˧˥	l e ˧ kʰ v̩ ˧˥  
le˧kʰɯ˧˥	l e ˧ kʰ ɯ ˧˥  
le˧lv̩˩	l e ˧ l v̩ ˩  
le˧lɑ˩lɑ˩	l e ˧ l ɑ ˩ l ɑ ˩  
le˧po˧bi˥	l e ˧ p o ˧ b i ˥  
le˧pʰo˧˥	l e ˧ pʰ o ˧˥  
le˧qʰv̩˩qʰv̩˩	l e ˧ qʰ v̩ ˩ qʰ v̩ ˩  
le˧qʰwɤ˧	l e ˧ qʰ wɤ ˧  
le˧qʰwɤ˧ze˧mæ˧	l e ˧ qʰ wɤ ˧ z e ˧ m æ ˧  
le˧se˩dʑo˩	l e ˧ s e ˩ dʑ o ˩  
le˧ti˩se˩dʑo˩	l e ˧ t i ˩ s e ˩ dʑ o ˩  
le˧tsɑ˧˥	l e ˧ ts ɑ ˧˥  
le˧tsʰo˧	l e ˧ tsʰ o ˧  
le˧tʰv̩˧dʑo˥	l e ˧ tʰ v̩ ˧ dʑ o ˥  
le˧wo˧tsʰɯ˧˥	l e ˧ w o ˧ tsʰ ɯ ˧˥  
le˧ɖɯ˩	l e ˧ ɖ ɯ ˩  
le˧ɬi˥	l e ˧ ɬ i ˥  
le˧ɻ̃˧zo˥	l e ˧ ɻ̃ ˧ z o ˥  
le˧ʂe˧le˧po˧tsʰɯ˧˥	l e ˧ ʂ e ˧ l e ˧ p o ˧ tsʰ ɯ ˧˥  
le˧ʂo˥	l e ˧ ʂ o ˥  
le˧ʂɯ˧kwɤ˧tɕɯ˥lɑ˩	l e ˧ ʂ ɯ ˧ k wɤ ˧ tɕ ɯ ˥ l ɑ ˩  
le˧ʂɯ˧ɲi˥ze˩	l e ˧ ʂ ɯ ˧ ɲ i ˥ z e ˩  
le˧ʈʂʰɻ̍˧˥	l e ˧ ʈʂʰ ɻ̍ ˧˥  
le˧ʐwæ˩ʐwæ˩	l e ˧ ʐ wæ ˩ ʐ wæ ˩  
lo˧pæ˧	l o ˧ p æ ˧  
lo˧qo˧	l o ˧ q o ˧  
lɑ˩kv̩˩tsɯ˩	l ɑ ˩ k v̩ ˩ ts ɯ ˩  
mo˧ʈʂʰɯ˧dʑo˩	m o ˧ ʈʂʰ ɯ ˧ dʑ o ˩  
mv̩˧mi˧	m v̩ ˧ m i ˧  
mv̩˧tsʰi˧qo˩	m v̩ ˧ tsʰ i ˧ q o ˩  
mv̩˧ɭɯ˩	m v̩ ˧ ɭ ɯ ˩  
mv̩˧ʁo˧ɻ̍˥	m v̩ ˧ ʁ o ˧ ɻ̍ ˥  
mv̩˩zo˩lɑ˥	m v̩ ˩ z o ˩ l ɑ ˥  
mv̩˩ɲi˩	m v̩ ˩ ɲ i ˩  
mɤ˧	m ɤ ˧  
mɤ˧dʑo˧ɲi˥	m ɤ ˧ dʑ o ˧ ɲ i ˥  
mɤ˧dʑɤ˩	m ɤ ˧ dʑ ɤ ˩  
mɤ˧gɤ˩ze˩	m ɤ ˧ g ɤ ˩ z e ˩  
mɤ˧ki˧	m ɤ ˧ k i ˧  
mɤ˧se˥	m ɤ ˧ s e ˥  
mɤ˧ɖo˧	m ɤ ˧ ɖ o ˧  
mɤ˧ɳv̩˧ɳv̩˧	m ɤ ˧ ɳ v̩ ˧ ɳ v̩ ˧  
mɤ˧ʂo˩	m ɤ ˧ ʂ o ˩  
mɤ˧ʝi˧	m ɤ ˧ ʝ i ˧  
mɤ˩	m ɤ ˩  
mɤ˩dʑo˩˥	m ɤ ˩ dʑ o ˩˥  
njæ˧sɯ˩kv̩˩ki˩	n jæ ˧ s ɯ ˩ k v̩ ˩ k i ˩  
njæ˧zɯ˩	n jæ ˧ z ɯ ˩  
njæ˧ɻ̍˩	n jæ ˧ ɻ̍ ˩  
njɤ˧bv̩˩	n jɤ ˧ b v̩ ˩  
njɤ˧ki˩	n jɤ ˧ k i ˩  
njɤ˧lɑ˥	n jɤ ˧ l ɑ ˥  
njɤ˩ɭɯ˧	n jɤ ˩ ɭ ɯ ˧  
no˧ki˧	n o ˧ k i ˧  
no˧ɻ̍˩dʑo˩	n o ˧ ɻ̍ ˩ dʑ o ˩  
næ˩qʰæ˥ʈʂʰe˩	n æ ˩ qʰ æ ˥ ʈʂʰ e ˩  
nɑ˩dʑi˧dʑo˩	n ɑ ˩ dʑ i ˧ dʑ o ˩  
õ˧ʈʂʰɯ˧	õ ˧ ʈʂʰ ɯ ˧  
pi˧ni˧˥	p i ˧ n i ˧˥  
pi˩ɲi˩mæ˩	p i ˩ ɲ i ˩ m æ ˩  
po˧hɯ˥	p o ˧ h ɯ ˥  
po˧po˧tsʰɤ˧˥	p o ˧ p o ˧ tsʰ ɤ ˧˥  
põ	p õ  
pv̩˩ɭɯ˥	p v̩ ˩ ɭ ɯ ˥  
pæ˩pʰæ˧˥	p æ ˩ pʰ æ ˧˥  
pʰo˩	pʰ o ˩  
qo˥	q o ˥  
qo˧	q o ˧  
qo˩qɑ˩˥	q o ˩ q ɑ ˩˥  
qwæ˩	q wæ ˩  
qwɤ˧ɭɯ˧ʁo˧	q wɤ ˧ ɭ ɯ ˧ ʁ o ˧  
qʰwɤ˧	qʰ wɤ ˧  
qʰæ˥tsʰɯ˩	qʰ æ ˥ tsʰ ɯ ˩  
qʰɑ˧dze˧	qʰ ɑ ˧ dz e ˧  
se˧lɑ˩	s e ˧ l ɑ ˩  
silisɑ̃lɑ̃	s i l i s ɑ̃ l ɑ̃  
si˧kʰɯ˧	s i ˧ kʰ ɯ ˧  
si˧tʰv̩˧	s i ˧ tʰ v̩ ˧  
si˧tʰv̩˧ki˧	s i ˧ tʰ v̩ ˧ k i ˧  
si˧ʁæ˧bæ˥	s i ˧ ʁ æ ˧ b æ ˥  
so	s o  
so˩hĩ˩	s o ˩ h ĩ ˩  
so˩kv̩˩	s o ˩ k v̩ ˩  
sɑ˧pʰv̩˧˥	s ɑ ˧ pʰ v̩ ˧˥  
sɯ˧pʰi˧ki˧	s ɯ ˧ pʰ i ˧ k i ˧  
sɯ˩	s ɯ ˩  
ti˥	t i ˥  
to˩mi˩	t o ˩ m i ˩  
tsɑ˩	ts ɑ ˩  
tsʰe˧do˧	tsʰ e ˧ d o ˧  
tsʰe˧ʝi˧	tsʰ e ˧ ʝ i ˧  
tsʰi˧ɲi˧dʑo˩	tsʰ i ˧ ɲ i ˧ dʑ o ˩  
tsʰo˧qʰwɤ˩	tsʰ o ˧ qʰ wɤ ˩  
tv̩˧	t v̩ ˧  
tv̩˧tsʰɯ˧	t v̩ ˧ tsʰ ɯ ˧  
tɕi˧dʑɯ˩	tɕ i ˧ dʑ ɯ ˩  
tɕɤ˧kv̩˥mæ˩	tɕ ɤ ˧ k v̩ ˥ m æ ˩  
tɕɯ˧	tɕ ɯ ˧  
