tɕe	t ɕ e
pɯɕti	p ɯ ɕ t i
qarma	q a r m a
raz	r a z
rɟɤβlun	r ɟ ɤ β l u n
tomtsaʁ	t o m t s a ʁ
torku	t o r k u
tosɤmbrɯ	t o s ɤ m b r ɯ
tothu	t o t h u
tɤmthɯm	t ɤ m t h ɯ m
tɤŋgɯm	t ɤ ŋ g ɯ m
tɯmtɕi	t ɯ m t ɕ i
tɯtɯpɯ	t ɯ t ɯ p ɯ
ɯjɯja	ɯ j ɯ j a
ɯkho	ɯ k h o
ɯkɯmŋɤm	ɯ k ɯ m ŋ ɤ m
ɯkɯɕar	ɯ k ɯ ɕ a r
ɯmphɯz	ɯ m p h ɯ z
ɯndɤcu	ɯ n d ɤ c u
ɯpɤrthɤβ	ɯ p ɤ r t h ɤ β
ɯrchɤβ	ɯ r c h ɤ β
ɯwi	ɯ w i
ɯxso	ɯ x s o
ɯɬaʁ	ɯ ɬ a ʁ
ɲɯnɯqambɯmbjom	ɲ ɯ n ɯ q a m b ɯ m b j o m
ɲɯɕe	ɲ ɯ ɕ e
βlama	β l a m a
chɯrɤpɯ	c h ɯ r ɤ p ɯ
co	c o
jisɤtɕha	j i s ɤ t ɕ h a
josɯɣe	j o s ɯ ɣ e
kuxtɕo	k u x t ɕ o
kúwɣtshi	k u ́ w ɣ t s h i
kɤndʑɯʁi	k ɤ n d ʑ ɯ ʁ i
kɤta	k ɤ t a
kɤŋke	k ɤ ŋ k e
kɯjpɯjpum	k ɯ j p ɯ j p u m
kɯndɯβ	k ɯ n d ɯ β
kɯrɤʑi	k ɯ r ɤ ʑ i
kɯsɤjloʁ	k ɯ s ɤ j l o ʁ
kɯzri	k ɯ z r i
kɯɕnɯz	k ɯ ɕ n ɯ z
lúwɣlɤt	l u ́ w ɣ l ɤ t
ngɯt	n g ɯ t
nɯtaʁ	n ɯ t a ʁ
nɯwa	n ɯ w a
pjɤfɕɤt	p j ɤ f ɕ ɤ t
pjɤmpɕɤr	p j ɤ m p ɕ ɤ r
qartshi	q a r t s h i
taʁrdo	t a ʁ r d o
tɕethi	t ɕ e t h i
tɕhorzi	t ɕ h o r z i
tɤjpa	t ɤ j p a
tɤkhɯ	t ɤ k h ɯ
tɤsno	t ɤ s n o
tɤtu	t ɤ t u
tɯku	t ɯ k u
tɯlu	t ɯ l u
tɯmpɕar	t ɯ m p ɕ a r
tɯβri	t ɯ β r i
ɯmthɤɣ	ɯ m t h ɤ ɣ
ɯrte	ɯ r t e
ɯtshɤt	ɯ t s h ɤ t
ɲaʁ	ɲ a ʁ
ɲɤkɤpaci	ɲ ɤ k ɤ p a c i
ɲɯkhama	ɲ ɯ k h a m a
ɲɯphɤn	ɲ ɯ p h ɤ n
ɲɯrkɯn	ɲ ɯ r k ɯ n
χsɤrʑaʁ	χ s ɤ r ʑ a ʁ
alo	a l o
chaa	c h a a
dɯxpa	d ɯ x p a
jɤkɯɣe	j ɤ k ɯ ɣ e
khri	k h r i
kute	k u t e
kutshoʁ	k u t s h o ʁ
kɯmɕku	k ɯ m ɕ k u
kɯngɯt	k ɯ n g ɯ t
kɯsthɯci	k ɯ s t h ɯ c i
mtshu	m t s h u
mŋɤm	m ŋ ɤ m
mɯɲɤcha	m ɯ ɲ ɤ c h a
nɯkɤβzu	n ɯ k ɤ β z u
nɯʑora	n ɯ ʑ o r a
pjɤβzu	p j ɤ β z u
pɯkɯsi	p ɯ k ɯ s i
rŋgɯ	r ŋ g ɯ
thɯci	t h ɯ c i
tonɯɕpɯz	t o n ɯ ɕ p ɯ z
toɬoʁ	t o ɬ o ʁ
toβzunɯ	t o β z u n ɯ
tɕoχtsi	t ɕ o χ t s i
tɤrɣe	t ɤ r ɣ e
tɯdi	t ɯ d i
tɯrɟaʁ	t ɯ r ɟ a ʁ
tɯtatɯt	t ɯ t a t ɯ t
ɯjɯ	ɯ j ɯ
ɯkɤrme	ɯ k ɤ r m e
ɯmnɯ	ɯ m n ɯ
ɯndza	ɯ n d z a
ɯsɯmpa	ɯ s ɯ m p a
βɣɤza	β ɣ ɤ z a
jonɯɬoʁ	j o n ɯ ɬ o ʁ
kɯrɤtʂɯβ	k ɯ r ɤ t ʂ ɯ β
kɯβʁa	k ɯ β ʁ a
laʁma	l a ʁ m a
mɤkɯcha	m ɤ k ɯ c h a
ndɤ	n d ɤ
phaʁrgot	p h a ʁ r g o t
pjɤlɤt	p j ɤ l ɤ t
pjɤmtshɤm	p j ɤ m t s h ɤ m
qapar	q a p a r
qra	q r a
rtɕhɯʁjɯ	r t ɕ h ɯ ʁ j ɯ
skɤt	s k ɤ t
stɯsti	s t ɯ s t i
suier	s u i e r
tandza	t a n d z a
tonɯɬoʁ	t o n ɯ ɬ o ʁ
totu	t o t u
tshɤj	t s h ɤ j
tshɯrɟɯn	t s h ɯ r ɟ ɯ n
tutia	t u t i a
tɕelo	t ɕ e l o
tɤmdzu	t ɤ m d z u
tɤmŋɤm	t ɤ m ŋ ɤ m
tɤzgra	t ɤ z g r a
tɤɣe	t ɤ ɣ e
tɯrɟɯ	t ɯ r ɟ ɯ
wɣrum	w ɣ r u m
xcat	x c a t
ɬa	ɬ a
ɯgrɤl	ɯ g r ɤ l
ɯqom	ɯ q o m
ɯβzaŋsa	ɯ β z a ŋ s a
ɯβzɯr	ɯ β z ɯ r
ɯχti	ɯ χ t i
ɲɤsɤβzu	ɲ ɤ s ɤ β z u
ɴqa	ɴ q a
ʁloŋbutɕhi	ʁ l o ŋ b u t ɕ h i
βɣa	β ɣ a
χsɯtɯphu	χ s ɯ t ɯ p h u
chɯlɤtnɯ	c h ɯ l ɤ t n ɯ
fso	f s o
jukɯɕe	j u k ɯ ɕ e
khramba	k h r a m b a
ko	k o
kɤ	k ɤ
kɤntɕhoz	k ɤ n t ɕ h o z
kɯjka	k ɯ j k a
kɯmɯxte	k ɯ m ɯ x t e
kɯqarŋɯrŋe	k ɯ q a r ŋ ɯ r ŋ e
mbala	m b a l a
mɤwxti	m ɤ w x t i
nɤrca	n ɤ r c a
pjɤpe	p j ɤ p e
pjɯfɕata	p j ɯ f ɕ a t a
pjɯnɯɕɯrɲɟo	p j ɯ n ɯ ɕ ɯ r ɲ ɟ o
pɯmtota	p ɯ m t o t a
pɯtɯχɕu	p ɯ t ɯ χ ɕ u
qajɣi	q a j ɣ i
rganɯ	r g a n ɯ
thɯthɤci	t h ɯ t h ɤ c i
tundzur	t u n d z u r
tuβzea	t u β z e a
tɤntɤβ	t ɤ n t ɤ β
tɤra	t ɤ r a
tɯfsu	t ɯ f s u
tɯjpu	t ɯ j p u
tɯmgo	t ɯ m g o
tɯtaʁ	t ɯ t a ʁ
tɯtɕha	t ɯ t ɕ h a
ɯdɯχɯn	ɯ d ɯ χ ɯ n
ɯfsosoz	ɯ f s o s o z
ɯtʂu	ɯ t ʂ u
ɯxtsa	ɯ x t s a
ɯzgra	ɯ z g r a
ɯɕɤrɯ	ɯ ɕ ɤ r ɯ
ɯɣli	ɯ ɣ l i
ɲɤsɯsonɯ	ɲ ɤ s ɯ s o n ɯ
ɲɤɕe	ɲ ɤ ɕ e
ɲɯ	ɲ ɯ
ɲɯtinɯ	ɲ ɯ t i n ɯ
ʁdɯrɟɤt	ʁ d ɯ r ɟ ɤ t
χsɯxpa	χ s ɯ x p a
ali	a l i
andi	a n d i
cai	c a i
chonɤ	c h o n ɤ
chɤlɤt	c h ɤ l ɤ t
chɤrku	c h ɤ r k u
chɤɕe	c h ɤ ɕ e
ftsoʁ	f t s o ʁ
juru	j u r u
kotso	k o t s o
kutanɯ	k u t a n ɯ
kɤnɤma	k ɤ n ɤ m a
kɤnɯβlɯ	k ɤ n ɯ β l ɯ
kɤrku	k ɤ r k u
kɯjŋu	k ɯ j ŋ u
kɯmɤɕi	k ɯ m ɤ ɕ i
kɯnɯqaɟy	k ɯ n ɯ q a ɟ y
kɯtʂɤɣ	k ɯ t ʂ ɤ ɣ
kɯɣe	k ɯ ɣ e
kɯɣɤndʐo	k ɯ ɣ ɤ n d ʐ o
kɯɤmtɕoʁ	k ɯ ɤ m t ɕ o ʁ
luɕe	l u ɕ e
mbroχpa	m b r o χ p a
mtha	m t h a
mtshoʁlaŋ	m t s h o ʁ l a ŋ
mɤkɯkhɯ	m ɤ k ɯ k h ɯ
mɤndze	m ɤ n d z e
mɯ́jchaa	m ɯ ́ j c h a a
nɤrʑaβ	n ɤ r ʑ a β
nɯjaʁ	n ɯ j a ʁ
nɯrmi	n ɯ r m i
pjɤsat	p j ɤ s a t
praʁwɯ	p r a ʁ w ɯ
pɯŋgra	p ɯ ŋ g r a
qambrɯ	q a m b r ɯ
qamɯrwa	q a m ɯ r w a
qraʁ	q r a ʁ
saɕɯ	s a ɕ ɯ
sɤjku	s ɤ j k u
thɯkɤβzu	t h ɯ k ɤ β z u
tojoʁ	t o j o ʁ
tumna	t u m n a
tundzea	t u n d z e a
túwɣrku	t u ́ w ɣ r k u
tɤkha	t ɤ k h a
tɤrte	t ɤ r t e
tɤrʁaʁkɕi	t ɤ r ʁ a ʁ k ɕ i
tɯrmɯkha	t ɯ r m ɯ k h a
tɯrpa	t ɯ r p a
zaŋ	z a ŋ
ɣɯrni	ɣ ɯ r n i
ɯsqar	ɯ s q a r
ɯtɯwxti	ɯ t ɯ w x t i
ɯ́ŋu	ɯ ́ ŋ u
ɲɤnɯzdɯɣ	ɲ ɤ n ɯ z d ɯ ɣ
ɲɤɣɤwu	ɲ ɤ ɣ ɤ w u
ɲɯphɯtnɯ	ɲ ɯ p h ɯ t n ɯ
ɲɯqarŋe	ɲ ɯ q a r ŋ e
ɲɯsaχsɤl	ɲ ɯ s a χ s ɤ l
ɴqiaβ	ɴ q i a β
ʑɴɢoloʁ	ʑ ɴ ɢ o l o ʁ
χpɯn	χ p ɯ n
chɯɣi	c h ɯ ɣ i
jisŋi	j i s ŋ i
jonɯɕenɯ	j o n ɯ ɕ e n ɯ
jɤanɯri	j ɤ a n ɯ r i
jɤazɣɯtnɯ	j ɤ a z ɣ ɯ t n ɯ
kedejin	k e d e j i n
kumpɣɤtɕɯ	k u m p ɣ ɤ t ɕ ɯ
kɤndzoʁ	k ɤ n d z o ʁ
kɤnɯmga	k ɤ n ɯ m g a
kɤphɯt	k ɤ p h ɯ t
kɤrtsi	k ɤ r t s i
kɯmbɯmbɤr	k ɯ m b ɯ m b ɤ r
kɯmpja	k ɯ m p j a
kɯmtɕhɯ	k ɯ m t ɕ h ɯ
kɯnaχtɕɯɣ	k ɯ n a χ t ɕ ɯ ɣ
kɯrkɯn	k ɯ r k ɯ n
kɯsɤmtshɤr	k ɯ s ɤ m t s h ɤ r
kɯɕnɯxpa	k ɯ ɕ n ɯ x p a
laŋlaŋ	l a ŋ l a ŋ
mpɯ	m p ɯ
mɤkɯsna	m ɤ k ɯ s n a
mɤmbro	m ɤ m b r o
mɯrmɯmbju	m ɯ r m ɯ m b j u
mɯ́jŋgrɤl	m ɯ ́ j ŋ g r ɤ l
ndʑitɕɯ	n d ʑ i t ɕ ɯ
paʁtsa	p a ʁ t s a
pingguo	p i n g g u o
pjɤkɤmdzɯci	p j ɤ k ɤ m d z ɯ c i
pjɤnɤscɤr	p j ɤ n ɤ s c ɤ r
pjɯsat	p j ɯ s a t
pjɯsatnɯ	p j ɯ s a t n ɯ
prɤschɯ	p r ɤ s c h ɯ
pɯnnɯŋu	p ɯ n n ɯ ŋ u
qaɲi	q a ɲ i
qaʑmbri	q a ʑ m b r i
rpɤŋgɯ	r p ɤ ŋ g ɯ
sla	s l a
smɤɣ	s m ɤ ɣ
sqaptɯɣ	s q a p t ɯ ɣ
staʁpɯ	s t a ʁ p ɯ
tofse	t o f s e
toŋga	t o ŋ g a
toʑa	t o ʑ a
tshɯtho	t s h ɯ t h o
tsɯʁot	t s ɯ ʁ o t
tusɤrminɯ	t u s ɤ r m i n ɯ
túwɣtɕɤt	t u ́ w ɣ t ɕ ɤ t
tɤtho	t ɤ t h o
tɤwɯ	t ɤ w ɯ
tɯxtu	t ɯ x t u
ɕea	ɕ e a
ɕkom	ɕ k o m
ɕu	ɕ u
ɟuli	ɟ u l i
ɯlɤcu	ɯ l ɤ c u
ɯnɯnɯra	ɯ n ɯ n ɯ r a
ɯqhɯqhu	ɯ q h ɯ q h u
ɯtɯci	ɯ t ɯ c i
ɯxpa	ɯ x p a
ɯʑosti	ɯ ʑ o s t i
ɲɯmna	ɲ ɯ m n a
ɲɯʁaʁ	ɲ ɯ ʁ a ʁ
ɲɯ́wɣta	ɲ ɯ ́ w ɣ t a
ʑɤni	ʑ ɤ n i
athi	a t h i
awi	a w i
bonuomu	b o n u o m u
chɤnɯɬoʁ	c h ɤ n ɯ ɬ o ʁ
e	e
faguan	f a g u a n
halifa	h a l i f a
khɯwɯsi	k h ɯ w ɯ s i
korɤʑi	k o r ɤ ʑ i
kutshi	k u t s h i
kuwu	k u w u
kuɕana	k u ɕ a n a
kɯjaʁ	k ɯ j a ʁ
kɯpɤz	k ɯ p ɤ z
kɯɤrŋɯrŋi	k ɯ ɤ r ŋ ɯ r ŋ i
laʁdɯn	l a ʁ d ɯ n
loɣi	l o ɣ i
lɤmɤjmɤɣ	l ɤ m ɤ j m ɤ ɣ
mbalɤpɯ	m b a l ɤ p ɯ
mi	m i
mɤtɯcha	m ɤ t ɯ c h a
mɯ́jndze	m ɯ ́ j n d z e
nɤχpi	n ɤ χ p i
nɯkɯmna	n ɯ k ɯ m n a
nɯma	n ɯ m a
nɯnɯre	n ɯ n ɯ r e
phuɲi	p h u ɲ i
pjɤɬoʁ	p j ɤ ɬ o ʁ
pjɯtu	p j ɯ t u
pjɯɣi	p j ɯ ɣ i
pɣɤkhɯ	p ɣ ɤ k h ɯ
qambalɯla	q a m b a l ɯ l a
qusput	q u s p u t
rcama	r c a m a
rga	r g a
rko	r k o
rɟitpa	r ɟ i t p a
rɯnbotɕhi	r ɯ n b o t ɕ h i
suofeiya	s u o f e i y a
tomda	t o m d a
tondzur	t o n d z u r
tongo	t o n g o
tonɯmbrɤpɯ	t o n ɯ m b r ɤ p ɯ
tosɯβzu	t o s ɯ β z u
toɣi	t o ɣ i
tsaŋga	t s a ŋ g a
túwɣxtɕɤr	t u ́ w ɣ x t ɕ ɤ r
tɕɤndi	t ɕ ɤ n d i
tɤfse	t ɤ f s e
tɤjlu	t ɤ j l u
tɤɣa	t ɤ ɣ a
tɯkhɤl	t ɯ k h ɤ l
tɯkhɯtsa	t ɯ k h ɯ t s a
tɯkɤrnoʁ	t ɯ k ɤ r n o ʁ
tɯrmɯ	t ɯ r m ɯ
tɯrsa	t ɯ r s a
ɕku	ɕ k u
ɯkɯntsɣe	ɯ k ɯ n t s ɣ e
ɯrpaʁ	ɯ r p a ʁ
ɯtɯphu	ɯ t ɯ p h u
ɯŋgɯm	ɯ ŋ g ɯ m
ɯɲɯ́ŋu	ɯ ɲ ɯ ́ ŋ u
ɲɤsi	ɲ ɤ s i
ɲɤɣɤme	ɲ ɤ ɣ ɤ m e
ɲɯsɤβze	ɲ ɯ s ɤ β z e
ɲɯɴqa	ɲ ɯ ɴ q a
ʁnɯrtsɤɣ	ʁ n ɯ r t s ɤ ɣ
ʑaka	ʑ a k a
aku	a k u
asɯndo	a s ɯ n d o
chɯnɯβzunɯ	c h ɯ n ɯ β z u n ɯ
chɯɣɯrni	c h ɯ ɣ ɯ r n i
cɯmbɤrom	c ɯ m b ɤ r o m
cɯpa	c ɯ p a
jiezhi	j i e z h i
jmɤɣni	j m ɤ ɣ n i
jonɯtsɯm	j o n ɯ t s ɯ m
jozɣɯtnɯ	j o z ɣ ɯ t n ɯ
jɤtsɯm	j ɤ t s ɯ m
jɯɣi	j ɯ ɣ i
khrɯtsu	k h r ɯ t s u
khɯjŋga	k h ɯ j ŋ g a
komɤr	k o m ɤ r
korqoʁ	k o r q o ʁ
kɤpa	k ɤ p a
kɤrtɯm	k ɤ r t ɯ m
kɯchi	k ɯ c h i
kɯɤkhra	k ɯ ɤ k h r a
maŋtaʁ	m a ŋ t a ʁ
mɯpjɤɣi	m ɯ p j ɤ ɣ i
mɯtoti	m ɯ t o t i
mɯɲɤkhɯ	m ɯ ɲ ɤ k h ɯ
mɯ́jra	m ɯ ́ j r a
ndʑɯnɯ	n d ʑ ɯ n ɯ
pjɤkhɯ	p j ɤ k h ɯ
pjɤmtonɯ	p j ɤ m t o n ɯ
pjɤɣi	p j ɤ ɣ i
pjɯ́wɣta	p j ɯ ́ w ɣ t a
praʁkhaŋ	p r a ʁ k h a ŋ
pɣi	p ɣ i
pɯkɯxtɕi	p ɯ k ɯ x t ɕ i
qandʑɣi	q a n d ʑ ɣ i
qaɕti	q a ɕ t i
scapa	s c a p a
smɤnmimitoʁ	s m ɤ n m i m i t o ʁ
soz	s o z
sqamnɯz	s q a m n ɯ z
stoŋtsu	s t o ŋ t s u
sŋi	s ŋ i
sɯrna	s ɯ r n a
taɴɢoʁ	t a ɴ ɢ o ʁ
thɤwum	t h ɤ w u m
tota	t o t a
tukɯndza	t u k ɯ n d z a
tulɤt	t u l ɤ t
tɕɣom	t ɕ ɣ o m
tɤscoz	t ɤ s c o z
tɤthu	t ɤ t h u
tɤɬaʁ	t ɤ ɬ a ʁ
tɯmtɕhi	t ɯ m t ɕ h i
tɯtshot	t ɯ t s h o t
tɯtɣa	t ɯ t ɣ a
tɯŋu	t ɯ ŋ u
tɯɕa	t ɯ ɕ a
zdɯmlaʁrɯʁrɯ	z d ɯ m l a ʁ r ɯ ʁ r ɯ
zgɯrmɯɣ	z g ɯ r m ɯ ɣ
zɲɤɕar	z ɲ ɤ ɕ a r
ɕɤχcɤl	ɕ ɤ χ c ɤ l
ɯkɤcu	ɯ k ɤ c u
ɯkɯti	ɯ k ɯ t i
ɯmgɯrqhu	ɯ m g ɯ r q h u
ɯraŋ	ɯ r a ŋ
ɯrɟɤlsa	ɯ r ɟ ɤ l s a
ɯspjɯŋ	ɯ s p j ɯ ŋ
ɯti	ɯ t i
ɯtɯfɕɤt	ɯ t ɯ f ɕ ɤ t
ɯɕpɤβ	ɯ ɕ p ɤ β
ɯɣi	ɯ ɣ i
ɯβdaʁpu	ɯ β d a ʁ p u
ɲɤnɯɬoʁ	ɲ ɤ n ɯ ɬ o ʁ
ɲɯmbat	ɲ ɯ m b a t
ɲɯmpɯ	ɲ ɯ m p ɯ
ɲɯndze	ɲ ɯ n d z e
ɲɯpɣi	ɲ ɯ p ɣ i
ɲɯrko	ɲ ɯ r k o
ɲɯrɲɟi	ɲ ɯ r ɲ ɟ i
ɲɯtambi	ɲ ɯ t a m b i
ɲɯtɯŋu	ɲ ɯ t ɯ ŋ u
ɲɯɤrŋi	ɲ ɯ ɤ r ŋ i
ʁʑɯnɯ	ʁ ʑ ɯ n ɯ
βɣɤtu	β ɣ ɤ t u
βɣɯz	β ɣ ɯ z
χajaŋ	χ a j a ŋ
ama	a m a
arca	a r c a
chake	c h a k e
chɯtʂɯβnɯ	c h ɯ t ʂ ɯ β n ɯ
chɯɤʑɯrja	c h ɯ ɤ ʑ ɯ r j a
dɯdɯt	d ɯ d ɯ t
jier	j i e r
jonɯɣi	j o n ɯ ɣ i
junɯɕe	j u n ɯ ɕ e
jɤaria	j ɤ a r i a
katɕa	k a t ɕ a
kówɣndo	k o ́ w ɣ n d o
kukɯrɤʑi	k u k ɯ r ɤ ʑ i
kɤmtshɤm	k ɤ m t s h ɤ m
kɤndʑɯwɤmɯsnom	k ɤ n d ʑ ɯ w ɤ m ɯ s n o m
kɤnɯqambɯmbjom	k ɤ n ɯ q a m b ɯ m b j o m
kɤsat	k ɤ s a t
kɤstu	k ɤ s t u
kɤtshi	k ɤ t s h i
kɯjom	k ɯ j o m
kɯjɯjom	k ɯ j ɯ j o m
kɯsi	k ɯ s i
kɯɕmɤtʂu	k ɯ ɕ m ɤ t ʂ u
kɯɤmtɕɯmtɕoʁ	k ɯ ɤ m t ɕ ɯ m t ɕ o ʁ
kɯɤrtɯrtɯm	k ɯ ɤ r t ɯ r t ɯ m
laʁnɯsŋi	l a ʁ n ɯ s ŋ i
lotsɯm	l o t s ɯ m
maŋpa	m a ŋ p a
mboʁ	m b o ʁ
mdzadi	m d z a d i
mkhɤrmaŋ	m k h ɤ r m a ŋ
mɤrɲama	m ɤ r ɲ a m a
mɤ́ɣrɤz	m ɤ ́ ɣ r ɤ z
mɯpɯmtota	m ɯ p ɯ m t o t a
mɯ́jnaχtɕɯɣ	m ɯ ́ j n a χ t ɕ ɯ ɣ
ntshi	n t s h i
nɤpi	n ɤ p i
pjɤkɤrkuci	p j ɤ k ɤ r k u c i
pjɤmaʁ	p j ɤ m a ʁ
pjɤnɯrga	p j ɤ n ɯ r g a
pjɤrga	p j ɤ r g a
pjɯsi	p j ɯ s i
pjɯɴɢaʁ	p j ɯ ɴ ɢ a ʁ
prɤku	p r ɤ k u
putao	p u t a o
pɯfse	p ɯ f s e
rgɯnba	r g ɯ n b a
rŋamoŋ	r ŋ a m o ŋ
rɲɟi	r ɲ ɟ i
rʁom	r ʁ o m
sqi	s q i
sɤre	s ɤ r e
tiane	t i a n e
tortoʁ	t o r t o ʁ
tufɕɤtnɯ	t u f ɕ ɤ t n ɯ
túwɣlɤt	t u ́ w ɣ l ɤ t
túwɣnɯβzu	t u ́ w ɣ n ɯ β z u
tɤjko	t ɤ j k o
tɤrcoʁ	t ɤ r c o ʁ
tɤtsoʁ	t ɤ t s o ʁ
tɯ	t ɯ
tɯmi	t ɯ m i
tɯrtɕhi	t ɯ r t ɕ h i
tɯɕe	t ɯ ɕ e
tɯɣli	t ɯ ɣ l i
xsar	x s a r
ɕɤrɯ	ɕ ɤ r ɯ
ɣi	ɣ i
ɯfsaqhe	ɯ f s a q h e
ɯkɯspa	ɯ k ɯ s p a
ɯma	ɯ m a
ɯmbe	ɯ m b e
ɯmgɯr	ɯ m g ɯ r
ɯrdoʁ	ɯ r d o ʁ
ɯrtsho	ɯ r t s h o
ɯrʑɯɣ	ɯ r ʑ ɯ ɣ
ɯtɯpe	ɯ t ɯ p e
ɯŋgo	ɯ ŋ g o
ɯɣot	ɯ ɣ o t
ɲɤmu	ɲ ɤ m u
ɲɤβde	ɲ ɤ β d e
ɲɯnɤrɯra	ɲ ɯ n ɤ r ɯ r a
ɲɯɕar	ɲ ɯ ɕ a r
ʁlɤwɯr	ʁ l ɤ w ɯ r
ʁnɯtɯpɯ	ʁ n ɯ t ɯ p ɯ
akha	a k h a
aqarŋɯrŋe	a q a r ŋ ɯ r ŋ e
atu	a t u
awɯ	a w ɯ
axtɤɣ	a x t ɤ ɣ
chi	c h i
chɯ	c h ɯ
chɯnɯrɤɣo	c h ɯ n ɯ r ɤ ɣ o
cɤjmɤɣ	c ɤ j m ɤ ɣ
cɤmtsho	c ɤ m t s h o
dianshi	d i a n s h i
jaʁ	j a ʁ
jikha	j i k h a
jndʐɤz	j n d ʐ ɤ z
joɣɯtnɯ	j o ɣ ɯ t n ɯ
jɤarinɯ	j ɤ a r i n ɯ
jɤkɤɣɯt	j ɤ k ɤ ɣ ɯ t
jɯfɕɯr	j ɯ f ɕ ɯ r
khatoʁ	k h a t o ʁ
khru	k h r u
kujinɯ	k u j i n ɯ
kunɯrɤʑi	k u n ɯ r ɤ ʑ i
kurɤʑia	k u r ɤ ʑ i a
kɤrɯɕmi	k ɤ r ɯ ɕ m i
kɯkɯtu	k ɯ k ɯ t u
kɯnɤmbju	k ɯ n ɤ m b j u
kɯreri	k ɯ r e r i
kɯsɤɕke	k ɯ s ɤ ɕ k e
kɯβdi	k ɯ β d i
ldɯɣi	l d ɯ ɣ i
loɕendʑi	l o ɕ e n d ʑ i
mbrɯtɕɯ	m b r ɯ t ɕ ɯ
mɤchaa	m ɤ c h a a
mɤdɤn	m ɤ d ɤ n
mɯpjɤmto	m ɯ p j ɤ m t o
mɯpjɤnɤz	m ɯ p j ɤ n ɤ z
mɯtɕhɯmɯrɯz	m ɯ t ɕ h ɯ m ɯ r ɯ z
mɯzi	m ɯ z i
naχtɕɯɣndʑi	n a χ t ɕ ɯ ɣ n d ʑ i
ndzɤtshi	n d z ɤ t s h i
ndɯβ	n d ɯ β
nɤj	n ɤ j
nɤɕki	n ɤ ɕ k i
nɯtɤru	n ɯ t ɤ r u
nɯŋgɯ	n ɯ ŋ g ɯ
pjɤjɤɣ	p j ɤ j ɤ ɣ
pjɤkɤtaci	p j ɤ k ɤ t a c i
pjɤnɤsɤɣdɯɣ	p j ɤ n ɤ s ɤ ɣ d ɯ ɣ
pjɤsɤscit	p j ɤ s ɤ s c i t
pjɤsɯχsɤl	p j ɤ s ɯ χ s ɤ l
pjɯlɤt	p j ɯ l ɤ t
pjɯtanɯ	p j ɯ t a n ɯ
praʁpa	p r a ʁ p a
prɤɕta	p r ɤ ɕ t a
pɯɣe	p ɯ ɣ e
qambɯt	q a m b ɯ t
qandʐi	q a n d ʐ i
qhɤjmbaʁ	q h ɤ j m b a ʁ
sŋaʁ	s ŋ a ʁ
sɤji	s ɤ j i
sɤndɤɣ	s ɤ n d ɤ ɣ
sɤβʑɯ	s ɤ β ʑ ɯ
sɯβsɯβ	s ɯ β s ɯ β
taβzu	t a β z u
thɯsta	t h ɯ s t a
thɯtɯt	t h ɯ t ɯ t
tonɯndo	t o n ɯ n d o
torqoʁ	t o r q o ʁ
tukɯtsɯma	t u k ɯ t s ɯ m a
tustea	t u s t e a
tutshata	t u t s h a t a
tuzɣɯt	t u z ɣ ɯ t
tɕetɕe	t ɕ e t ɕ e
tɤjpɣom	t ɤ j p ɣ o m
tɤmbri	t ɤ m b r i
tɤmuj	t ɤ m u j
tɤrtsa	t ɤ r t s a
tɤrɤm	t ɤ r ɤ m
tɤwxti	t ɤ w x t i
tɤzbaʁ	t ɤ z b a ʁ
tɤŋgɤr	t ɤ ŋ g ɤ r
tɤɣur	t ɤ ɣ u r
tɯmdʑu	t ɯ m d ʑ u
tɯxtɤŋɤm	t ɯ x t ɤ ŋ ɤ m
tɯŋgu	t ɯ ŋ g u
yida	y i d a
zrɯ	z r ɯ
ŋunɯ	ŋ u n ɯ
ɕoʁ	ɕ o ʁ
ɕɯmŋɤm	ɕ ɯ m ŋ ɤ m
ɣe	ɣ e
ɣurʑa	ɣ u r ʑ a
ɯkhri	ɯ k h r i
ɯmbro	ɯ m b r o
ɯqe	ɯ q e
ɯrɟɤβlun	ɯ r ɟ ɤ β l u n
ɯsmɤn	ɯ s m ɤ n
ɯsŋɯro	ɯ s ŋ ɯ r o
ɯsɤtɕha	ɯ s ɤ t ɕ h a
ɯtɤfkɯm	ɯ t ɤ f k ɯ m
ɯtɯɤkhra	ɯ t ɯ ɤ k h r a
ɯɣmbaj	ɯ ɣ m b a j
ɲɤlɤt	ɲ ɤ l ɤ t
ɲɤmbi	ɲ ɤ m b i
ɲɤβzu	ɲ ɤ β z u
ɲɯmɯm	ɲ ɯ m ɯ m
ɲɯnɤmbju	ɲ ɯ n ɤ m b j u
ɲɯsaχaʁ	ɲ ɯ s a χ a ʁ
ɲɯzri	ɲ ɯ z r i
ɲɯɣɤme	ɲ ɯ ɣ ɤ m e
ɲɯ́wɣnɯphɯt	ɲ ɯ ́ w ɣ n ɯ p h ɯ t
ʁdɯxpa	ʁ d ɯ x p a
ʁja	ʁ j a
ʁmɤrɲɯɣ	ʁ m ɤ r ɲ ɯ ɣ
ʑa	ʑ a
ʑmbɯlɯm	ʑ m b ɯ l ɯ m
χpɤltɕin	χ p ɤ l t ɕ i n
akɯ	a k ɯ
apɯdɤn	a p ɯ d ɤ n
apɯme	a p ɯ m e
aɕki	a ɕ k i
aɬaʁ	a ɬ a ʁ
bɯxsi	b ɯ x s i
chɤci	c h ɤ c i
