Reference,Prediction
ʈʂʰɯ˧ne˧ʝi˥|le˧ɲi˩|le˧ɲi˩|wɤ˩˥|ʈʂʰɯ˧ne˧ʝi˥|le˧tɕɯ˧ɭɯ˧|wɤ˩˥|ʈʂʰɯ˧ne˧ʝi˥|le˧ɲi˩|le˧ɲi˩|ʈʂʰɯ˧ne˧ʝi˥|le˧tɕɯ˧ɭɯ˧|ʈʂʰɯ˧ne˧ʝi˥|le˧gv̩˩|,ʈʂʰɯ˧ne˧ʝi˥ le˧ɲi˩ le˧ɲi˩ wɤ˩˥ ʈʂʰɯ˧ne˧ʝi˥ le˧tɕɯ˧˥le˥ wɤ˩˥ ʈʂʰɯ˧ne˧ʝi˥ le˧ɲi˩ le˧ɲi˩ ʈʂʰɯ˧ne˧ʝi˥ le˧tɕɯ˧ɭɯ˧ ʈʂʰɯ˧ne˧ʝi˥ le˧ɭɯ˧gv̩˩
ʂo˧qo˧tʰʈæ˧bɤ˧dʑɯ˧˥|pi˧|ʂo˧qo˧tʰɑ˩|ɖɯ˩hĩ˩˥|ɲi˧po˩|so˧po˧hwæ˧le˧po˧tsʰɯ˧˥|,ʂo˧kʰwɤ˩ʰʈæ˧bɤ˧dʑɯ˧˥ pi˧ ʂo˧kvo˩tʰɑ˩ ɖɯ˩hĩ˥ ɲi˧po˩so˩pv̩˩ hwɑ˩ le˧po˧tsʰɯ˧˥
ĩ˧|mi˧tʰv̩˧|le˧w̃æ˧|ʈʂʰɯ˧bv̩˧bv̩˧gv̩˥kv̩˩ɲi˩|,ə˧mi˧tʰv̩˧ le˧w̃˧ʈʂʰɯ˥ bv̩˧bv̩˧vo˧ki˩ɲi˩
ə˧hwɤ˧|lɑ˧ɳɯ˧|njɤ˧ə˧mɑ˧|le˧ʈʰæ˧ze˥|,ə˧hwɤ˧lɑ˧ɳɯ˧ njɤ˧ ə˧mɑ˧ le˧ʈʰæɑ˧ze˧
tʰi˩˥|tʰv̩˧ɲi˥kɯ˩qo˩|le˧ʈʂɤ˧dʑo˥|tʰi˩˥|ə˧mi˧ɻæ˩ɳɯ˩|ɑ˩ʁo˧|ʐɯ˧tɕɤ˧kv̩˥ze˩|,tʰi˩˥ ʈʂʰɯ˧ɲi˧kɯ˧qo˩ le˧ʈʂɤ˧ tʰi˩˥ ə˧mi˧ɻæ˩ɳɯ˩ʁo˥ ʐɯ˧tɕɤ˧kv̩˥ze˩
ə˧ʝi˧ʂɯ˥ʝi˩|nɑ˩ʈʂʰɯ˥dʑo˩|zo˧ɖɯ˥dʑo˩|ʈʂʰwɤ˩tʰv̩˩kv̩˥tsɯ˩|mv̩˩|mv̩˩ɖɯ˩˥|dʑo˩|ʐo˩tʰv̩˩kv̩˥tsɯ˩|mv̩˩,ə˧ʝi˧ʂɯ˥ʝi˩ nɑ˩ʈʂʰɯ˥dʑo˩ zo˧ɖɯ˩˥dʑo˩ ʈʂʰwɤ˩tʰv̩˩kv̩˥tsɯ˩mv̩˩ mv̩˩ɖɯ˩˥ dʑo˩ ʐo˩tʰv̩˩kv̩˥tsɯ˩mv̩˩
ʈʂʰɯ˧ne˧ʝi˥|ʈʂʰɯ˧ne˧hĩ˥|tɑ˧tɑ˧|ʈʂʰɯ˧ne˧ʝi˥|ɖɯ˧kʰwɤ˥lɑ˩tʰv̩˩ɲi˩|ɲi˧ɲi˥|,ʈʂʰɯ˧ne˧ʝi˥ ʈʂʰɯ˧ne˧ʝi˥ tɑ˧tɑ˧ kʰi˧ne˧˩˥ ɖɯ˧kʰwɤ˥ tʰv̩˧hĩ˥ ɲi˧ɲi˥
go˧mi˧hĩ˧ki˧ki˩dʑo˩|tʰi˩˥|tʰv̩˧ɲi˧dʑo˩|mmm…ə˧mv̩˧˥|dʑo˩|tʰi˩˥|,go˧mi˧ hĩ˧ki˧ki˩dʑo˩ tʰi˩˥ ʈʰv̩˧ɲi˩dʑo˩ əə…ə˧mv̩˧˥ dʑo˩ tʰi˩˥
mɤ˧bi˧ze˧|mɤ˧bi˧ze˧|ə˧zɯ˩|le˧wo˧bi˧|ʈʂʰɯ˧|hwɤ˧tɕi˥|le˧ɖʐɤ˧˥|pi˧tsɯ˩|mv̩˩|zo˧ki˧|,mɤ˧bi˧ze˧mɤ˧bi˧ze˧ ə˧zɯ˩ le˧wo˧bi˥ tʰv̩˧hwɤ˧tɕi˥ le˧ɖʐɤ˧˥ pi˧tsɯ˩ v̩˩zo˧ki˩
zo˩no˥|njɤ˧|ə˧si˧|ʈʂʰɯ˧tɕi˩|ʈʂʰɯ˧ne˧ʝi˥|ʐwɤ˩kv̩˩˥|mæ˩|,zo˩no˥ njɤ˧ ə˧si˧ ə˧ʈʂʰɯ˧ʈʂi˧ɳɯ˧ ʈʂʰɯ˧ne˧ʝi˥ ʐwɤ˩kv̩˩˥ mæ˩
ɖɯ˧ʁwɤ˧|ʐwæ˧tɕɯ˩zo˩|so˩kv̩˩dʑo˩˥|pi˧dʑo˩|njɤ˧ɻ̍˩ɳɯ˩|le˧tɕɯ˧le˥po˩tsʰɯ˩|pi˧|njɤ˧|ɑ˩ʁo˧|hwæ˧tsʰɯ˩ɲi˩ze˩mæ˩|,ɖɯ˧ʁwɤ˧ʐwæ˧tɕɯ˩zo˩ so˩kv̩˩dʑo˩˥ pi˧dʑo˩ njɤ˧ɻ̍ɳɯ˧ le˧tɕɯ˧le˥po˩tsʰɯ˩pi˩ njɤ˧ ˩ʁo˧˥ hwæ˧tsʰɯ˩ɲi˩ze˩mæ˩
ə˧mɑ˧|nɑ˩dʑi˧hṽ̩˧|dʑo˧ɲi˥mæ˩|,ə˧mɑ˧ nɑ˩dʑi˥hṽ̩˧ dʑo˩ɲi˥mæ˩
zo˩no˧|ə˧ʝi˧ʂɯ˥ʝi˩|hĩ˧ɻæ˥|gæ˩pʰæ˧ʑi˧ʁæ˧|ʈʂʰɯ˧dʑo˩|ʝi˧kʰv̩˥dʑo˩|hĩ˧dzi˧kv̩˥mæ˩|,zo˩no˥ ə˧ʝi˧ʂɯ˥ʝi˩ hĩ˧ɻæ˥ gæ˩pʰæ˧ʑi˧ɻæ˧ʈʂʰɯ˧dʑo˩ ʝi˧kʰv̩˥dʑo˩wɤ˩ hĩ˧tv̩˧dzi˧kv̩˥ mæ˩
tʰi˩˥|qʰv̩˧kv̩˧dʑo˧˥|dʑo˩|ə˧ʝi˧ʂɯ˥ʝi˩|tʰi˩˥qʰv̩˧kv̩˥|ə˧ʑi˧zo˧ʈʂʰɯ˥|zo˧mv̩˥|mɤ˧dʑo˧ɲi˥|ə˧ʑi˧ɳɯ˥|tʰi˩˥|zo˧mv̩˥|le˧dʑo˩kwɤ˩tɕɯ˩lɑ˩|hĩ˧dʑo˩|qʰv̩˧kv̩˥ɳɯ˩|tʰi˩˥|hĩ˧ʈʂʰɯ˧|ɖɯ˧ɖʐv̩˥|ɖɯ˧ɖʐv̩˥ɳɯ˩|ɲi˧tsi˧qʰv̩˧kv̩˧dʑo˧˥|,tʰi˩˥ qʰv̩˧kv̩˧dʑo˧˥ dʑo˩ ə˧ʝi˧ʂɯ˥ʝi˩ tʰi˧qʰv̩˧kv̩˥ ə˧ʑi˧zo˩ ʈʂʰɯ˧ɻ̍˩ zo˧mv̩˩˥ mɤ˧dʑo˩ njɤ˧ ə˧ʑi˧ɳɯ˥ tʰi˩˥ zo˧mv̩˥ le˧dʑo˩kwɤ˩tɕɯ˩lɑ˩ hĩ˧ʈʂʰɯ˧ qʰv̩˧kv̩˥ɳɯ˩ tʰi˩˥ hĩ˧ʈʂʰɯ˧ ɖɯ˧ɖʐv̩˧ɖɯ˧ɖʐv̩˧ɳɯ˩ ɲi˧tsi˧qʰɑ˧kv̩˧dʑo˧˥
ʈʂʰɯ˧ne˧ʝi˥|tʰi˧qɑ˩|,ʈʂʰɯ˧ne˧ʝi˥ tʰi˧qɑ˩
tʰi˩˥|si˧kʰɯ˧li˥nɑ˩|ʈʰɯ˩se˩gɤ˥|njɤ˧ə˧mɑ˧mɤ˧dʑo˩|tʰi˧kwɤ˩kʰɯ˩|pi˧|tʰi˩˥|,tʰi˩˥ si˧kʰɯ˧li˥nɑ˩ʈʰɯ˩se˩gɤ˩  njɤ˧ə˧mɑ˧mɤ˧dʑo˩ tʰi˧kwɤ˩kʰɯ˩ pi˧ tʰi˩˥
tsʰi˧qʰæ˧˥|dʑo˩|ʂo˧qo˧tʰɑ˩qʰæ˩ʝi˩ze˩mæ˩|ə˧ʝi˧ʂɯ˥ʝi˩dʑo˩|ʂɑ˩tʰɑ˧dze˧|ə˧ʝi˧tsʰi˧ʝi˧dʑo˩|ʂo˧qo˧tʰɑ˩|ɖɯ˧po˩hwæ˩|le˧po˧tsʰɯ˧˥|,tsʰi˩˧qʰæ˧˥ dʑo˩ ʂv̩˧kwɤ˩tɑ˩qʰæ˩dʑi˩ze˩mæ˩ ə˧ʝi˧ʂɯ˥ʝi˩dʑo˩ ʂɑ˩tʰɑ˧ze˧ ə˧ʝi˧tsʰi˧ʝi˧dʑo˩ ʂo˧ko˩tʰɑ˩ ɖɯ˧pɤ˩hwæ˩ le˧po˧tsʰɯ˧˥
tʰi˩˥|mv̩˧ʈʰæ˧|lo˧ʝi˧hĩ˧|ʝi˧kʰv̩˥|lo˧ʝi˧kʰɯ˩|,tʰi˩˥ mv̩˧ʈʰæ˧˥ lo˧ʝi˧ ʝi˧kʰv̩˧lo˧ʝi˧kʰɯ˩
zo˩no˥|dʑɯ˩ʈʰɯ˩ʈʰɤ˩˥|ʈʰɤʈʰɤʈʰɤpi˧|ɖɯ˧ʈʰɤ˥tʰi˩ʈʰɤ˩dʑo˩ɲi˩|,zo˩no˥ dʑɯ˩ʈʰɯ˥ʈʰæ˩ʈʰæ˩ʈʰɤpi˧ ɖɯ˧ʈʂʰɤ˧˥ tʰi˧ʈʰɤ˥ dʑo˩ɲi˩
tʰi˩˥|no˧˥|kʰv̩˩mi˩ɲi˥tsɯ˩|mv̩˩|tʰi˩˥|no˧˥|hĩ˧ɲi˥tsɯ˩|mv̩˩,tʰi˩˥ no˧ kʰv̩˩mi˩ɲi˥tsɯ˩ mv̩˩ tʰi˩˥ no˧ hĩ˧ɲi˥tsɯ˩ mv̩˩
tʰi˩˥|ʁwɤ˧qo˧hĩ˧ɻæ˧ɳɯ˥|wɤ˩˥|pʰɤ˧bɤ˧po˧jo˥kv̩˩mæ˩|,tʰi˩˥ ʁwɤ˧qo˧hĩ˧ɻæ˧ɳɯ˥ wɤ˩˥ pʰɤ˧bɤ˧po˧bi˥kv̩˩mæ˩
qo˩ho˧qo˥|ŋv̩˧|ɖɯ˧mæ˩|mmm…pɤ˩jɤ˧tʰi˥kʰɯ˩|,qo˩ho˧qo˧ ŋv̩˧ɖɯ˧mæ˩ mm…pɤ˩jɤ˧tʰi˥kʰɯ˩
hĩ˧ɳɯ˩|hĩ˧so˥|le˧po˧jo˥|dʑo˩|ʁwɤ˧ɳɯ˧|so˩kv̩˩˥|no˧sɯ˩kv̩˩|ɖwæ˩mɤ˧zo˧|pi˧tsɯ˩|mv̩˩|,hĩ˧ɳɯ˩ hĩ˧so˥ le˧po˧jo˥dʑo˩ ʁwɤ˧ɳɯ˧ so˩kv̩˩˥ no˧sɯ˩kv̩˩ ɖwæ˩mɤ˧zo˧ pi˧tsɯ˩ mv̩˩
nɑ˩ʈʂʰɯ˥dʑo˩|no˧|ʐɯ˧ʈʰɯ˩bi˩|ʈʂʰɯ˧lɑ˥ɲi˩|zo˩no˥|ʐɯ˧ʈʰɯ˩hɑ˩dzɯ˩pi˩bi˩bi˩|zo˩no˥|hĩ˧ɳɯ˩|qo˩ho˧˥|le˧pɤ˥pɤ˩|pʰɤ˧bɤ˧|le˧pɤ˥pɤ˩|po˧tsʰɯ˧pi˥|,nɑ˩ʈʂʰɯ˥dʑo˩ no˧ ʐɯ˧ʈʰɯ˩bi˩ ʈʂʰɯ˧lɑ˩ɲi˩ zo˩no˧ ʐɯ˧ʈʰɯ˩ hɑ˧dzɯ˧bi˧bi˧bi˩ zo˩no˥ hĩ˧ɳɯ˩ qo˩ho˥ le˧pɤ˥pɤ˩ pʰɤ˧bɤ˧ le˧pɤ˧po˥ pi˧tsʰɯ˩ pi˧
əəə…njɤ˧|ɖɯ˧ʈʰæ˧pi˥|lɑ˧gi˧˥|le˧bæ˧˥|kʰi˩|njɤ˧|mɤ˧ʈʰæ˧˥|,əə…njɤ˧ ɖɯ˧ʈʰæ˧ɻpi˧˥ lɑ˧gi˧ le˧bæ˧˥ kʰi˧˥ njɤ˧ mɤ˧ʈʰæ˧˥
tʰi˩˥|zɯ˧zɯ˧ʈʂʰɯ˧|tsʰe˩so˩kʰv̩˩lɑ˥ɖɯ˩dʑo˩|tʰi˩˥|kʰv̩˩mi˩zɯ˩zɯ˥tʰv̩˩v̩˩ki˩|ʂe˧hɯ˧ɲi˥tsɯ˩|mv̩˩|hĩ˧zɯ˧zɯ˥|tʰv̩˧v̩˧ɳɯ˩|,tʰi˩˥ zɯ˧zɯ˧ʈʂʰɯ˧ tsʰe˩so˩kʰv̩˩lɑ˥ ɖɯ˩dʑo˩ tʰi˩˥ kʰv̩˧mi˥ zɯ˩zɯ˩˥ tʰv̩˧v̩˧ki˩ ʂe˧hɯ˧ɲi˥tsɯ˩ mv̩˩ hĩ˧zɯ˧zɯ˥ tʰv̩˧v̩˧ɳɯ˩
hæ˧di˩qo˩|wɤ˩˥|ə˧tso˧mɤ˧ɲi˩|ə˧ʝi˧ʂɯ˥ʝi˩|njæ˧sɯ˩kv̩˩dʑo˩|hæ˧di˩lɑ˩pi˩kv̩˩mæ˩|ə˩gi˩|,hæ˧di˩qo˩ wɤ˩ ə˧tso˧mɤ˧ɲi˩ ə˧ʝi˧ʂɯ˥ʝi˩ njæ˧sɯ˩kv̩˩dʑo˩ hæ˧di˩lɑ˩pi˩kv̩˩mæ˩ ə˩gi˩
əəə…tʰv̩˧ne˧ʝi˥|ɖɯ˧bæ˧ɳɯ˧|ɖɯ˧kʰwɤ˥|tʰi˧kʰɯ˧˥|,əĩə…tʰi˧ni˧… ɖɯ˧bæ˧ɳɯ˧ ɖɯ˧kʰwɤ˥tʰi˩kʰɯ˩
ə˧mi˧|no˧bv̩˩|ʈʂʰɯ˧ɭɯ˧se˥|ɖwæ˧˥|dʑɤ˩˥|,ə˧mi˧ no˧bv̩˩ʈʂʰɯ˩ɻ̍˩se˩ ɖwæ˧˥ dʑɤ˩˥
tʰi˩˥|ɖɯ˧ʑi˩ɻ̍˩dʑo˩|zo˧bæ˩|ɖɯ˧v̩˧dʑo˩tsɯ˩|mv̩˩|,tʰi˩˥ ə…ɖɯ˧ʑi˩ɻ̍˩dʑo˩ zo˧bæ˩ ɖɯ˧v̩˧dʑo˧˥ tsɯ˩ mv̩˩
tʰi˩˥|lɑ˧tʰɑ˧di˧ɳɯ˥|le˧tsʰɯ˩ɲi˩kv̩˩tsɯ˩|mv̩˩,tʰi˩˥ lɑ˧tʰɑ˧di˧ɳɯ˥ le˧tsʰɯ˩ɲi˩kv̩˩tsɯ˩ mv̩˩
hɑ˧|ɲi˧qwæ˧ɻ̍˥|hɑ˧|ɖɯ˧qwæ˧ɻ̍˥|mɤ˧ɖo˧|,hɑ˧ ɲi˧qwæ˧ɻ̍˥ hɑ˧ ɖɯ˧qwæ˧˥ mɤ˧ɖo˧
ɖɯ˧njɤ˧|ŋv̩˩˥|pi˧ɲi˥tsɯ˩|mv̩˩|,ɖɯ˧njɤ˧ ŋv̩˩˥ pi˩ɲi˥tsɯ˩ mv̩˩
ɕi˧ʈʂʰwæ˧pɤ˩jɤ˩|ʈʂʰɯ˧ne˧ʝi˥|pɤ˩jɤ˧˥|le˧ti˩hĩ˩|tʰv̩˧ʁo˥|so˧ɭɯ˧|əəə…ʐv̩˩ɭɯ˩˥|,ɕi˧ʈʂʰwæ˧pɤ˩jɤ˩ ʈʂʰɯ˧ne˧ʝi˥ pɤ˩jɤ˧˥ le˧ti˩hĩ˩ ʈʂʰɯ˧ʁo˥ so˧ɭɯ˧ əə…ʐv̩˩ɭɯ˩˥
tʰi˩˥|hĩ˧ɻæ˧ɳɯ˥|ə˧mi˧|ʈʂʰɯ˧|ʈʂʰɯ˧ne˧gv̩˧ɲi˥tsɯ˩dʑo˩|ʈʂʰɯ˧|ʈʂʰɯ˧ne˧ʝi˥|ə˧tse˧ʝi˧zo˥|ʈʂʰɯ˧ne˧ʝi˥|dʑo˧ɲi˥hɯ˩|pi˧|,tʰi˩˥ hĩ˧ɻæ˧ɳɯ˥ ə˧mi˧ ʈʂʰɯ˧ ʈʂʰɯ˧ne˧gv̩˧ɲi˥tsɯ˩dʑo˩ ʈʂʰɯ˧ ʈʂʰɯ˧ne˧ʝi˥ ə˧tse˧ʝi˧zo˥ ʈʂʰɯ˧ne˧ʝi˥ dʑo˧ɲi˥hɯ˩ pi˧
li˩˥|ɖɯ˧ɭɯ˧|tʰi˧kʰɯ˩|jɤ˧ɖɯ˧po˩tʰi˩kʰɯ˩|,li˩˥ ɖɯ˧ɭɯ˧tʰi˥kʰɯ˩ jɤ˧ ɖɯ˧po˩tʰi˩kʰɯ˩
ɑ˩ʁo˧|ɖɯ˧ɲi˥|so˧kʰɯ˧ʈʂʰɯ˧ʂe˧kʰɯ˧ʈʂʰɯ˧|ʈʂʰɯ˧ɖɯ˧mi˧hĩ˧|tʰi˧ʈɯ˧|ɖɯ˧ɲi˥|so˧tɕʰi˧|,ɑ˩ʁo˧ ɖɯ˧ɲi˥ so˧kʰɯ˧ʈʂʰɯ˧ ʂe˧kʰɯ˧ʈʂʰɯ˧ ʈʂʰɯ˧ɖɯ˧mi˧ tʰi˧ʈɯ˧˥ ɖɯ˧ɲi˥ so˧tɕʰi˧
əəə…ə˧mi˧|tɕi˩hĩ˩˥|wɤ˩˥|õ˧bv̩˥õ˩|ʑi˧dv̩˧ʝi˧ze˩|wɤ˩˥|õ˧bv̩˥õ˩|ə˧mi˧tɕi˩ki˩bi˩|,əə…ə˧mi˧ tɕi˩hĩ˩˥ wɤ˩˥ õ˧bv̩˥õ˩ ʑi˧tʰv̩˧ʝi˧ʑi˧dʑo˩ õ˧bv̩˥õ˩ə˧mi˧tɕɯ˩ki˩ bi˩
õ˧ʈʂʰɯ˧ne˧ʝi˥zo˩|no˧bv̩˩ʐwɤ˩ki˩|njɤ˧bv̩˩ʐwɤ˩ki˩ʐwɤ˩ɖwæ˩mɤ˧zo˧|ɖwæ˩mɤ˧zo˧|ɖɯ˧v̩˧ɖɯ˧v̩˧ɳɯ˧|,õ˧ʈʂʰɯ˧ne˧ʝi˥dzo˩ no˧bv̩˧ʐwɤ˩ki˩ njɤ˧bv̩˩ʐwɤ˩ki˩ʐe˩ ɖæ˩mɤ˧zo˧ ɖwæ˩mɤ˧zo˧ ɖɯ˧v̩˧ɖɯ˧v̩˧ɳɯ˧
wo˩˥|dʑo˩|õ˧tʰv̩˧|ə˩kʰɯ˩ɲi˥ze˩mæ˩|õõõ|,wo˩˥ dʑo˧hĩ˩tʰv̩˧ ə˩kʰɯ˩ɲi˥ze˩mæ˩ ĩ˧
ʐwæ˧seʐɤ˩se˩zo˩ni˥|ɖɯ˧v̩˧si˧ʑi˧hõ˧˥|əəə…ɖɯ˧v̩˧dʑɯ˩qwæ˩hõ˩˥|ɖɯ˧v̩˧|mv̩˧kʰɯ˩hõ˩|pi˧zo˩|ə˧mi˧ɻæ˩ɳɯ˩|ʈʂʰɯ˧ne˧ʝi˥|ʈʂæ˧kv̩˧˥|mæ˩|,ʐwæ˧˥ɕi˩ ɻɑ˧ʐɤ˧se˥ zo˩no˧˥ ɖɯ˧v̩˧ si˩ɕi˩hõ˩˥ əə…ɖɯ˧v̩˧ dʑɯ˩qʰwæ˩hɑ̃˩˥ ɖɯ˧v̩˧mv̩˧kʰɯ˩hõ˩ pi˧zo˩ ə˧mi˧ɻæ˩ ʈʂʰɯ˧ne˧ʝi˥ ʈʂæ˧kv̩˩˥ mæ˩
oʈʂʰɯ˧ɳɯ˧|qʰæ˩tsʰɯ˩˥|ɲi˩|pi˧|zo˩no˥|mje˩fe˥|ʈʂʰɯ˧|ʈʂʰɯ˧ne˧ʝi˥|,oʈʂʰɯ˧ɳɯ˧ qʰæ˧tsʰɯ˧˥ ɲi˩ pi˧ zo˩no˥ mi˩fv̩˧ʈʂʰɯ˥ ʈʂʰɯ˧ne˧ʝi˥
ɖɯ˧kʰv̩˧˥|ɖɯ˧ʂɯ˩hĩ˩ʈʂʰɯ˩dʑo˩|ɕi˧ɭɯ˧|ɕi˧ɭɯ˧|qʰɑ˧dze˧|nv̩˩ɭɯ˥|nv̩˧hṽ̩˩|jɤ˩jo˥|qwæ˧tsɯ˧|,ɖɯ˧kʰv̩˥ ɖɯ˧ʂɯ˩hĩ˩ʈʂʰɯ˩ddʑo˩ ɕi˧ɭɯ˧ ɕi˧ɭɯ˧ qʰɑ˧dze˧ nv̩˩ɭɯ˧ lv̩˧hṽ̩˩ jɤ˩jo˥ qwæ˧tsɯ˧
tɑ˧ho˧|ʈʂʰɯ˧ne˧ʝi˥|le˧qwæ˧˥|hĩ˧hĩ˧ʈʂʰɯ˧|ɖwæ˧˥|ho˧ho˥ɲi˩mæ˩|dʑɤ˩ɲi˥mæ˩|,tɑ˧hɤ˧ ʈʂʰɯ˧ne˧ʝi˥ le˧qwæ˧˥ hĩ˧˥ hĩ˧ʈʂʰɯ˧ ɖwæ˧˥ ho˩ho˥ɲi˩mæ˩ dʑɤ˩ɲi˥mæ˩
tʰi˩˥|hõ˧ɬi˧mi˧|gv̩˩ɬi˩mi˩˥|əəə…tsʰe˧ɬi˧mi˧|tʰi˩˥|gv̩˩ɬi˩mi˩˥|hõ˧ɬi˧mi˧|qʰɑ˧dze˧|wɤ˩˥|le˧ɖʐɤ˧le˥po˩tsʰɯ˩|ɑ˩ʁo˥|ʈʂʰɯ˧ne˧ʝi˥|ntʰi˧tɕɯ˥|,tʰi˩˥ hõ˧ɬi˧mi˧ gv̩˩ɬi˩mi˩˥ əə…tsʰe˧ɬi˧mi˧ tʰi˩˥ gv̩˩ɬi˩mi˩˥ hõ˧ɬi˧mi˧qʰɑ˧dze˧ wɤ˩˥ le˧ɖʐɤ˧le˥po˩tsʰɯ˩ ɑ˩ʁo˧ ʈʂʰɯ˧ne˧ʝi˥ tʰi˧tɕɯ˥
tʰi˩˥|ə˧dɑ˥ɳɯ˩|ʈʂʰɯ˧ne˧ʝi˥|pi˧tsɯ˩|mv̩˩,tʰi˩˥ ə˧dɑ˥ɳɯ˩ ʈʂʰɯ˧ne˧ʝi˥ pi˧tsɯ˩ mv̩˩
tʰi˩˥|dʑɤ˩tsʰo˧kv̩˧ze˥mæ˩|,tʰi˩˥ dʑɤ˩tsʰo˧kv̩˧ze˥mæ˩
zo˩no˧dʑo˥|tʰi˩˥|ə˧ʝi˧tsʰi˧ʝi˧|dʑɤ˩˥|ʑi˧mi˧|ə˧ʝi˧ʂɯ˥ʝi˩ɳɯ˩|le˧gv̩˧gv̩˥|mɤ˧tʰɑ˧˥|dʑɤ˩˥|gv̩˩hĩ˩˥|mɤ˧dʑo˩|,zo˩no˧dʑo˧ tʰi˩˥ ə˧ʝi˧tsʰi˧ʝi˧dʑɤ˩˥ ʑi˧mi˧ ə˧ʝi˧ʂɯ˥ʝi˩ɳɯ˩ le˧gv̩˧gv̩˥ nɤ˧tʰɑ˧˥ dʑɤ˩˥ gv̩˩hĩ˩˥ mɤ˧dʑo˩
mmm…le˧gv̩˧gv̩˥pi˩kv̩˩mæ˩|nɑ˩ʐwɤ˥dʑo˩|le˧gv̩˧gv̩˥dʑo˩|tʰi˩˥|,mm…le˧gv̩˧gv̩˥ pi˩kv̩˩mæ˩ nɑ˩ʐwɤ˥dʑo˩ le˧gv̩˧gv̩˥dʑo˩ tʰi˩˥
tʰi˩˥|ʐwæ˧|ɖɯ˧v̩˧ɖɯ˧v̩˧dʑo˧|kʰɤ˧gɤ˧mv̩˧ʈʂæ˧kv̩˧˥|mæ˩|ɖɯ˧v̩˧ɖɯ˧v̩˧|ɻ̍˩pɑ˧mv̩˧ʈʂæ˧kv̩˧˥|mæ˩|tʰv̩˧ɲi˥kv̩˩bv̩˩|mv̩˧ɻwæ˩kwɤ˩tɕɯ˩lɑ˩|ɖɯ˧tɑ˧˥|le˧jo˩kv̩˩ɲi˩|,tʰi˩˥ ʐwæ˧ ɖɯ˧v̩˧ɖɯ˧v̩˧dʑo˧ kʰɤ˧gɤ˧mv̩˧ʈʂæ˧ɯkv̩˥mæ˩ ɖɯ˧v̩˧ɖɯ˧˧ ɻæ˩pɑ˧mv̩˧ʈʂæ˧kv̩˥mæ˩ tʰv̩˧ɲi˥kv̩˩bv̩˩ mv̩˩ɻwæ˩kwɤ˩tɕɯ˩lɑ˩ ɖɯ˧tɑ˥ li˩jo˩kv̩˩ɲi˩
tʰi˩˥|v̩˩dʑɯ˧ʈʰɯ˧|ɖɯ˧kʰv̩˧˥|dʑo˩|so˧ɬi˧mi˧ɳɯ˧|hi˧|le˧gi˥|dʑo˩|ŋwɤ˩ɬi˩mi˩qʰv̩˥ɬi˩mi˩dʑo˩|hi˧|le˧gi˥|le˧gi˥|le˧gi˥zo˩|,tʰi˩˥ v̩˩dʑɯ˧ʈʰɯ˧ ɖɯ˧kʰv̩˧˥ dʑo˩ so˧ɬi˧mi˧ɳɯ˧ hi˧ le˧gi˥dʑo˩ ŋwɤ˩ɬi˩mi˩qʰv̩˥ɬi˩mi˩dʑo˩ hi˧le˧gi˧ le˧gi˧ le˧gi˥zo˩
tʰi˩˥|ʐɤ˩mi˩qo˥|hĩ˧ɲi˥kv̩˩ʁo˩pv̩˩dʑo˩|,tʰi˩˥ ʑɤ˩mi˩qo˥ hĩ˧ɲi˥kv̩˩qo˩pv̩˩˥dʑo˩
tʰi˩˥|ʈʂʰɯ˧qo˧ɳɯ˧|le˧hɯ˩|əəə…ʂwæ˧gv̩˧ki˧tʰv̩˧dʑo˩|ʂwæ˧gv̩˧ʈʂʰɯ˧dʑo˩|tʰi˩˥|ɲi˧mi˧tʰi˧qʰæ˧˥|kwɤ˩tɕɯ˩lɑ˩|ɬi˧di˩di˩mi˩qo˩dʑo˩|ɲi˧mi˧dʑo˥|kɤ˧mi˧kɤ˧mv̩˧ki˥ɳɯ˩|gɤ˩pɤ˧ɲi˩mæ˩|ə˩gi˩|,tʰi˩˥ ʈʂʰɯ˧qo˧ɳɯ˧ le˧hɯ˩ ə̃ ʂwæ˧gv̩˧ki˧tʰv̩˧dʑo˩ ʂwæ˧gv̩˧ ʈʂʰɯ˧dʑo˩ tʰi˩˥ ni˧mi˧ tʰi˧qʰæ˧˥ kv̩˩˥ sɯ˩lɑ˩ ɬi˧di˩di˩mi˩qo˩dʑo˩ ɲi˧mi˧dʑo˧ kɤ˧mi˧kkɤ˧mv̩˧ki˥ɳɯ˩ gɤ˩po˥ɲi˩mæ˩ ə˩gi˩
hĩ˧|ə˧ʝi˧ʂɯ˥ʝi˩|ʈʂʰɯ˧ne˧ʝi˥|le˧ʂɯ˧hĩ˧|qʰɑ˩ne˩ʝi˥bi˩|,hĩ˧ ə˧ʝi˧ʂɯ˥ʝi˩ ʈʂʰɯ˧ne˧ʝi˥ le˧ʂɯ˧hĩ˧ qʰɑ˩ɲi˥mæ˩
